employee_id,rating,year,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki,year_competency,avg_competency_score
EMP100000,2.0,2021,RENDRA PRATAMA,806137,1,4,1,6,3,3,2,3,1,64,86,75,SI,Steadiness-Influencer,NAN,94.0,33.0,2,2021,1.7
EMP100001,,2021,WULAN SETIAWAN,476388,4,4,4,5,5,3,1,1,2,16,48,52,DS,Dominant-Steadiness,INTP,94.0,17.0,3,2021,
EMP100002,2.0,2021,JULIA JATMIKO SITUMORANG,941921,1,3,5,1,1,3,1,3,1,58,66,38,DC,Dominant-Conscientious,NAN,109.0,20.0,3,2021,1.8888888888888888
EMP100003,,2021,OKA HALIM,751615,1,3,4,2,1,1,2,2,5,15,39,63,SI,Steadiness-Influencer,ENTJ,85.0,39.0,3,2021,
EMP100004,3.0,2021,DWI PRATAMA,443809,3,4,6,5,3,3,1,1,5,34,75,100,NAN,Steadiness-Conscientious,INTJ,134.0,21.0,9,2021,2.8
EMP100005,,2021,BAYU ZULFIKAR,590302,1,1,5,2,3,1,1,3,1,66,69,35,DC,Dominant-Conscientious,NAN,130.0,21.0,7,2021,2.125
EMP100006,4.0,2021,INDRA SANTOSO,826406,1,3,3,2,1,2,1,1,4,82,94,24,SC,Steadiness-Conscientious,ESFP,139.0,27.0,6,2021,4.0
EMP100007,4.0,2021,RANI MAHENDRA,878510,4,3,4,3,2,2,3,2,1,56,65,45,DS,Dominant-Steadiness,ESFJ,99.0,17.0,4,2021,3.9
EMP100008,5.0,2021,GITA PERMADI,189647,2,4,3,1,5,1,1,4,1,40,47,97,ID,Influencer-Dominant,INFP,137.0,23.0,1,2021,4.75
EMP100009,,2021,JULIA ANGGARA,931718,1,2,5,6,4,1,3,3,2,77,21,84,DS,Dominant-Steadiness,ISFP,82.0,29.0,4,2021,4.2
EMP100010,2.0,2021,MAYA JATMIKO HANDAYANI,967930,2,3,4,3,2,2,3,1,4,29,43,61,CI,Conscientious-Influencer,ESTJ,84.0,42.0,2,2021,2.3
EMP100011,3.0,2021,FAJAR HALIM,617452,4,1,3,5,2,3,3,2,1,51,45,31,DI,Dominant-Influencer,ENFP,125.0,31.0,10,2021,3.3333333333333335
EMP100012,,2021,RENDRA TRI PURNAMA,457211,1,2,2,3,2,1,2,4,6,3,20,70,DS,Dominant-Steadiness,ISFJ,108.0,43.0,10,2021,
EMP100013,,2021,MAYA MAHENDRA,656829,4,4,6,2,1,2,3,1,4,3,88,32,IC,Influencer-Conscientious,ENTP,124.0,33.0,9,2021,
EMP100014,2.0,2021,WAHYU INDRAWAN,503585,3,3,6,1,3,1,2,4,2,65,92,54,SI,Steadiness-Influencer,ISTJ,92.0,24.0,7,2021,1.8888888888888888
EMP100015,3.0,2021,ZAHRA UTAMA SETIAWAN,155133,4,2,3,4,5,2,3,2,1,28,65,77,DC,Dominant-Conscientious,ENFP,,,7,2021,2.9
EMP100016,2.0,2021,DINDA PRAMUDITA GINTING,658786,1,4,6,6,5,2,2,1,3,39,83,93,SI,Steadiness-Influencer,ISTP,97.0,34.0,5,2021,2.2
EMP100017,3.0,2021,FAJAR MAHENDRA,583676,2,1,4,3,1,2,3,2,2,95,55,80,CS,Conscientious-Steadiness,ENTJ,107.0,31.0,1,2021,3.1
EMP100018,3.0,2021,ARIF GINTING,588205,4,3,5,3,5,3,2,1,6,53,66,69,SC,Steadiness-Conscientious,ESFJ,,28.0,3,2021,3.111111111111111
EMP100019,4.0,2021,RIZKI IQBAL GUNAWAN,341900,3,4,4,2,1,2,1,3,6,27,28,72,CD,Conscientious-Dominant,ISTP,125.0,23.0,10,2021,4.0
EMP100020,3.0,2021,YOGA ERLANGGA HARTANTO,850478,1,3,1,6,4,1,2,4,5,31,83,83,DC,Dominant-Conscientious,ENFP,132.0,33.0,1,2021,2.888888888888889
EMP100021,5.0,2021,OKA CANDRA KURNIAWAN,828497,3,3,1,4,3,2,3,2,6,81,22,34,CS,Conscientious-Steadiness,INFP,,,2,2021,5.0
EMP100022,4.0,2021,OKA NUGROHO,674733,2,1,2,3,1,2,2,3,3,53,49,94,NAN,Influencer-Conscientious,ISTP,91.0,35.0,8,2021,3.6666666666666665
EMP100023,3.0,2021,ADIT KURNIAWAN,555024,4,2,3,2,1,2,2,4,1,49,86,52,DC,Dominant-Conscientious,ESTJ,139.0,30.0,5,2021,2.8
EMP100024,3.0,2021,RENDRA CANDRA MAULIDA,884289,2,1,5,3,2,2,2,3,4,44,64,23,CD,Conscientious-Dominant,ESTP,134.0,23.0,5,2021,3.1
